"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2004",22.371,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2004",38.344,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2023",23.16,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2023",22.275,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2023",24.048,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2022",23.714,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2022",21.727,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2022",25.656,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2021",24.084,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2021",22.19,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2021",25.96,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2020",26.943,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2020",27.414,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2020",26.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2019",25.824,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2019",26.196,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2019",25.454,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2018",26.614,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2018",25.531,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2018",27.772,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2017",26.227,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2017",25.084,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2017",27.608,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2016",27.391,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2016",27.192,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2016",27.622,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2015",29.816,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2015",28.485,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2015",31.283,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2014",31.392,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2014",30.168,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2014",32.646,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2013",30.977,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2013",29.819,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2013",32.041,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2012",27.654,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2012",25.96,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2012",29.688,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2011",30.011,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2011",27.652,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2011",32.518,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2010",29.72,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2010",25.838,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2010",33.711,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2009",30.734,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2009",25.127,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2009",35.756,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2008",28.166,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2008",25.39,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2008",30.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2007",33.77,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2007",30.843,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2007",36.743,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2005",35.186,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2005",34.139,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2005",36.243,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2002",41.805,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2002",44.487,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","HIES - Living Standards Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2002",39.124,,,"Repository: ILO-STATISTICS - Micro data processing"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2011",4.77,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2011",4.58,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2011",4.95,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2009",4.35,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2009",3.98,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"Netherlands Antilles","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2009",4.71,,,"Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population"
"United Arab Emirates","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2023",8.917,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2023",5.95,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2023",14.891,,,"Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2024",16.324,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2024",14.684,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2024",18.063,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2023",15.028,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2023",13.397,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2023",16.734,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2022",15.872,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2022",13.994,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2022",17.848,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2021",16.118,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2021",13.767,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2021",18.558,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2020",22.328,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2020",21.004,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2020",23.67,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2019",19.228,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2019",16.833,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2019",21.694,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2018",19.023,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2018",15.527,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2018",22.49,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2017",19.246,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2017",15.777,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2017",22.781,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2014",19.675,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2014",15.141,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2014",24.511,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2013",19.07,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2013",14.376,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2013",23.999,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2012",18.406,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2012",13.779,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2012",23.096,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2011",18.405,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
